id,vet_passport_id,seller_id,pet_name,species,pet_age,color,pet_gender,breed,pedigree,good_with_children,good_with_animals,pet_description,is_active,price
c7c0eae5-3dd9-47e2-867c-4c4409b96991,7be0f297-f050-408e-9738-16a03973821b,abd7831c-5aaa-45df-ad2c-dbaba0eda8bd,Владилен,Кошка,6,Серый,Девочка,Сиамская,True,True,True,Здоровый и ухоженный питомец,False,31838.15
f4279850-0b18-4b0d-a56c-4421586ea58d,dbdb9c2b-1ebd-4ba1-bb43-ba93379c498d,c1c4afc1-be51-41de-944a-5d8abcc64013,Кирилл,Кошка,1,Бежевый,Мальчик,Сиамская,False,False,True,Очень ласковый и дружелюбный,True,8629.93
a853a996-3a69-46de-ab5a-3356d66cb080,858a36c6-d665-439b-8c16-8063b5f77a94,c1c4afc1-be51-41de-944a-5d8abcc64013,Дементий,Попугай,10,Серый,Мальчик,Жако,True,False,True,Очень ласковый и дружелюбный,True,21996.3
e2bc65d5-0b97-4566-bcd5-577afd19735d,6576f902-916c-4382-ac0a-08885457ccb6,e828ec6d-a8ee-40c9-974a-c550349c2441,Марфа,Попугай,3,Серый,Мальчик,Волнистый попугай,False,True,True,Подойдет для семьи,True,5549.8
9e6fc214-94d5-4796-9674-8da910811d5a,ec3e7a9c-3ea1-4328-bc7e-4b3efc32c5c9,c1c4afc1-be51-41de-944a-5d8abcc64013,Святослав,Попугай,11,Коричневый,Мальчик,Корелла,False,True,True,Спокойный характер,True,17547.79
54ca7dcb-aca3-491c-ac17-7edd9fc62516,298f20fa-7bbf-477a-91e0-0e19d7f58e08,c1c4afc1-be51-41de-944a-5d8abcc64013,Онуфрий,Хомяк,6,Пятнистый,Мальчик,Кэмпбелла,True,True,False,Здоровый и ухоженный питомец,False,1805.36
344d605a-19d4-41be-b0bb-f454ff78e319,c88d2f69-03dd-47a1-b719-2421a1a57c07,84377d3c-2b73-4109-8046-d786355709c1,Ярослав,Хомяк,5,Бежевый,Мальчик,Кэмпбелла,False,False,True,Активный и игривый,True,5201.41
0e7ea16d-7985-4eb8-97e7-045ef7689359,666578a5-0993-48cc-975a-463852d4ed54,abd7831c-5aaa-45df-ad2c-dbaba0eda8bd,Ия,Попугай,4,Серый,Девочка,Неразлучник,True,True,False,Спокойный характер,True,13027.35
6f478a10-e623-4504-8534-b1e877a23c21,ee6e2000-b0d1-4b77-8fc2-1941a1339146,a7c381c2-c0e4-4e4c-843d-114fcb5fc3af,Зосима,Хомяк,13,Золотистый,Девочка,Сирийский,False,True,True,Любит детей и внимание,True,6835.24
0b5f1867-f0f1-4957-a59b-1e3afa3a0320,75b39cc5-93d7-4b71-b230-e48f5a5425a9,84377d3c-2b73-4109-8046-d786355709c1,Екатерина,Собака,1,Черный,Мальчик,Лабрадор,True,False,False,Любит детей и внимание,False,9797.8
